Timestamp,What is your age?,Gender,Class,City/ Residencial status,,,,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,Some of my Friends think I am hothead,"When people are especially nice to me, I wonder what they want",I tell my friends openly when I 2 with them,"Once I became so mad, I broke things",When people 2 with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often 2 with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?,aggression/behavious score, 
07-11-2023 22:16,20,male,12th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Frustation,4,4,3,1,1,5,2,2,2,1,4,1,5,1,2,1,4,2,2,2,3,2,4,4,4,1,2,4,4,4,yes,yes,2.7,
07-11-2023 23:01,18,male,11th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Agerresion .  voilent stunt,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,3,2,yes,yes,3.733333333,
07-11-2023 23:11,16,male,11th,uttar pradesh ,,,,more than 1 hour,more than 1 hour,aggressive ,2,2,3,4,3,3,4,4,3,2,3,4,4,2,4,2,2,3,2,2,2,3,2,3,3,3,2,1,1,2,yes,yes,2.666666667,
07-11-2023 23:12,19,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,feel fresh,1,1,5,4,5,2,1,2,2,2,5,2,2,2,4,5,2,2,4,1,4,2,1,4,2,2,2,2,1,2,no,yes,2.533333333,
07-11-2023 23:14,19,male,12th,ghaziabad ,,,,more than 2 hour,more than 2 hour,Aggression ,4,4,3,2,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3,2,2,3,3,4,yes,yes,3.366666667,
07-11-2023 23:17,18,male,Bachelor ,india ,,,,less than 1 hour,less than 1 hour,Always attentive ,2,2,4,4,2,4,2,2,2,2,4,2,2,2,2,4,2,4,2,4,4,4,2,4,4,2,4,2,2,2,no,yes,2.8,
07-11-2023 23:22,17,male,10th,mohan nagar,,,,less than 1 hour,less than 1 hour,i think I forget other important things once start playing,2,2,3,2,4,2,2,3,4,4,4,5,3,1,3,2,3,3,4,2,1,4,4,4,2,2,2,3,3,4,yes,yes,2.9,
07-11-2023 23:22,17,male,12th,uttar pradesh ,,,,less than 1 hour,less than 1 hour,No chnged,1,1,4,4,2,2,1,4,4,3,4,3,2,5,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,no,no,2.1,
07-11-2023 23:31,19,male,Job,varanasi,,,,more than 2 hour,less than 1 hour,No it's depends on your mind??????,1,1,4,4,2,4,2,2,4,2,1,1,3,3,1,1,2,1,1,1,1,1,4,1,1,1,2,2,1,4,no,no,1.966666667,
07-11-2023 23:41,18,male,12th,uttar pradesh ,,,,more than 1 hour,less than 1 hour,"Aggression, anxiety ",2,2,4,5,1,4,1,2,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,no,no,1.633333333,
